year	agency	locality	industry	funding
2012	Dept of Health and Human Services	ALL	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	145000
2013	Dept of Health and Human Services	ALL	ALL	581215.6
2014	ALL	Chesapeake	REMEDIATION SERVICES	1390188.54
2012	Dept of Defense	ALL	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	203382103.07
2014	ALL	Newport News	CUSTOM COMPUTER PROGRAMMING SERVICES	37639.44
2012	Dept of Homeland Security	ALL	ALL OTHER INFORMATION SERVICES	30085
2011	ALL	Virginia Beach	OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS	13000
2012	ALL	Williamsburg	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	35780
2013	Dept of Homeland Security	ALL	ALL OTHER INFORMATION SERVICES	57726
2013	ALL	Newport News	SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING	2658726
2012	ALL	Norfolk	COMPUTER SYSTEMS DESIGN SERVICES	500000
2014	ALL	Chesapeake	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	203333
2012	ALL	Williamsburg	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	75878
2013	ALL	Newport News	OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING	267411.7
2014	ALL	Newport News	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	2870871.61
2011	Dept of Defense	Chesapeake	ALL	4654034.17
2011	ALL	ALL	PUMP AND PUMPING EQUIPMENT MANUFACTURING	40460
2012	Dept of Defense	ALL	OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING	129875.48
2011	ALL	Hampton	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	39655368.03
2014	Dept of Defense	ALL	WIRED TELECOMMUNICATIONS CARRIERS	6513117.28
2014	Dept of Defense	ALL	ELECTRONIC COMPUTER MANUFACTURING	669230
2011	ALL	Hampton	OTHER COMPUTER RELATED SERVICES	24756355.63
2014	Dept of Commerce	Newport News	ALL	26000
2011	Dept of Defense	ALL	REMEDIATION SERVICES	3165729.4
2012	Dept of Defense	ALL	ELECTRONIC CONNECTOR MANUFACTURING	184482.4
2011	ALL	Virginia Beach	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	784785.3
2014	Dept of Defense	ALL	INDUSTRIAL BUILDING CONSTRUCTION	318867
2012	ALL	ALL	REMEDIATION SERVICES	1672188.92
2013	Dept of Defense	ALL	ALL OTHER TELECOMMUNICATIONS	279250.9
2012	ALL	Norfolk	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	157541862.31
2013	ALL	Suffolk	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	5375
2012	ALL	ALL	ELECTRONIC CONNECTOR MANUFACTURING	184482.4
2012	ALL	Hampton	REMEDIATION SERVICES	146853.92
2014	ALL	Chesapeake	OTHER COMPUTER RELATED SERVICES	577036.11
2014	ALL	Newport News	WIRED TELECOMMUNICATIONS CARRIERS	3803634.28
2011	Dept of Defense	ALL	OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS	13000
2011	Dept of Defense	ALL	ALL OTHER SUPPORT SERVICES	215037
2011	ALL	ALL	ENGINEERING SERVICES	39827250.35
2014	ALL	ALL	ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES	141488.64
2012	ALL	Norfolk	OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES	782051.96
2014	Dept of Defense	ALL	OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING	423407
2014	Dept of Defense	ALL	ALL	2509325917.03
2012	ALL	Newport News	OTHER COMPUTER RELATED SERVICES	206275.56
2012	Dept of Homeland Security	ALL	ALL	1686223.34
2012	ALL	York	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	379461.41
2013	ALL	Norfolk	INDUSTRIAL BUILDING CONSTRUCTION	32442
2014	Dept of Defense	Hampton	ALL	4488622.85
2013	Dept of Defense	ALL	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	3922591.25
2013	Dept of Defense	ALL	ALL	437770781.29
2014	ALL	Suffolk	OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING	106841
2012	ALL	ALL	SMALL ARMS MANUFACTURING	178836.18
2012	ALL	Newport News	GENERAL LINE GROCERY MERCHANT WHOLESALERS	9623.88
2013	Dept of Defense	ALL	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	94341632.39
2011	National Aeronautics and Space Administration	Virginia Beach	ALL	568638
2011	ALL	Norfolk	ENGINEERING SERVICES	6936084.95
2013	National Aeronautics and Space Administration	Hampton	ALL	11117133.69
2011	Environmental Protection Agency	Norfolk	ALL	558273.49
2012	ALL	Norfolk	INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS	40571.55
2013	National Aeronautics and Space Administration	York	ALL	216529
2014	ALL	Virginia Beach	REMEDIATION SERVICES	102550
2011	ALL	ALL	RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY	200684
2014	ALL	Virginia Beach	ALL OTHER SUPPORT SERVICES	1252031
2013	Dept of Homeland Security	Portsmouth	ALL	17248741.97
2013	Dept of Homeland Security	Virginia Beach	ALL	946732.00
2013	ALL	Norfolk	ELECTRONIC CONNECTOR MANUFACTURING	62612.16
2013	ALL	Virginia Beach	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	6723710.46
2014	Dept of Defense	ALL	COMPUTER AND SOFTWARE STORES	338399
2011	Dept of Defense	ALL	ELECTRONIC COMPUTER MANUFACTURING	1105072.09
2011	ALL	Suffolk	ENGINEERING SERVICES	1646122.15
2014	ALL	Chesapeake	OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES	3917966.66
2013	ALL	Chesapeake	SHIP BUILDING AND REPAIRING	31586993.93
2012	Dept of Transportation	ALL	ALL	20067
2012	Dept of Defense	ALL	PUMP AND PUMPING EQUIPMENT MANUFACTURING	41090
2014	ALL	Newport News	ENGINEERING SERVICES	5882865.53
2013	ALL	Chesapeake	WIRED TELECOMMUNICATIONS CARRIERS	105258.16
2012	ALL	Hampton	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	22029197.40
2011	ALL	Hampton	REMEDIATION SERVICES	2613526.4
2012	ALL	Virginia Beach	SMALL ARMS MANUFACTURING	178836.18
2013	ALL	Poquoson	ALL	120877.72
2012	ALL	ALL	ENGINEERING SERVICES	37252986.15
2014	ALL	Virginia Beach	SHIP BUILDING AND REPAIRING	38350890.73
2013	Dept of Defense	ALL	RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING	8719387.33
2011	Dept of Defense	ALL	SPORTING AND ATHLETIC GOODS MANUFACTURING	90370.5
2014	Dept of Defense	Norfolk	ALL	1146381255.78
2012	ALL	ALL	SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING	86270.02
2011	Dept of Defense	ALL	CUSTOM COMPUTER PROGRAMMING SERVICES	26836765
2012	ALL	Virginia Beach	OTHER COMPUTER RELATED SERVICES	915029.28
2012	Dept of Homeland Security	ALL	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	517000
2012	Dept of Commerce	Gloucester	ALL	92400
2014	ALL	Virginia Beach	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	3307350.58
2011	Dept of Defense	Portsmouth	ALL	5998560.07
2011	ALL	Norfolk	SHIP BUILDING AND REPAIRING	21346393.20
2014	Dept of Homeland Security	Virginia Beach	ALL	110560
2013	ALL	Virginia Beach	COMPUTER SYSTEMS DESIGN SERVICES	1360470.01
2014	ALL	Chesapeake	CUSTOM COMPUTER PROGRAMMING SERVICES	2318120.48
2012	ALL	ALL	SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING	48000
2012	ALL	Hampton	ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS	350650
2012	Dept of Homeland Security	York	ALL	517000
2013	ALL	ALL	ENGINEERING SERVICES	31361719.92
2011	ALL	ALL	COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS	60000
2013	ALL	ALL	OTHER COMPUTER RELATED SERVICES	12581243.12
2011	ALL	ALL	HIGHWAY, STREET, AND BRIDGE CONSTRUCTION	1153065.33
2011	ALL	ALL	POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION	1192116
2011	ALL	ALL	SPORTING AND ATHLETIC GOODS MANUFACTURING	90370.5
2011	ALL	Virginia Beach	RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY	200684
2014	ALL	Chesapeake	RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING	46500
2014	Dept of Veterans Affairs	ALL	CUSTOM COMPUTER PROGRAMMING SERVICES	2273929.48
2012	Dept of Defense	Suffolk	ALL	1603589.81
2012	ALL	ALL	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES	6812861
2012	Dept of Defense	ALL	ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING	78311.68
2014	ALL	Hampton	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	5436640.08
2014	ALL	Chesapeake	ENGINEERING SERVICES	6081668.90
2011	ALL	Hampton	SOFTWARE PUBLISHERS	48739
2014	Dept of Defense	ALL	FLIGHT TRAINING	4046012
2012	ALL	Newport News	ALL	38512836.35
2011	Dept of Defense	ALL	FACILITIES SUPPORT SERVICES	722000
2013	ALL	Hampton	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	7409351.38
2013	Dept of Defense	ALL	ALL OTHER SUPPORT SERVICES	1386636.54
2014	ALL	Newport News	ELECTRONIC CONNECTOR MANUFACTURING	49917.13
2013	ALL	Hampton	WIRED TELECOMMUNICATIONS CARRIERS	362000
2012	ALL	Hampton	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	34000
2014	Dept of Defense	ALL	PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES	1540700
2013	ALL	Chesapeake	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	2601310
2014	ALL	Portsmouth	OTHER COMPUTER RELATED SERVICES	967443.34
2013	ALL	Virginia Beach	OTHER MANAGEMENT CONSULTING SERVICES	159897.6
2013	ALL	Virginia Beach	OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING	726904
2013	Dept of Defense	Williamsburg	ALL	395992
2012	ALL	Chesapeake	OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION	280689.6
2012	Dept of Defense	Williamsburg	ALL	1306066
2012	Dept of Defense	ALL	MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS	1128636.61
2013	Dept of Defense	Norfolk	ALL	105396495.80
2013	ALL	Hampton	ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES	32215.04
2012	ALL	York	ALL	3088023.84
2012	ALL	ALL	ALL OTHER INFORMATION SERVICES	30085
2012	ALL	Hampton	COMPUTER SYSTEMS DESIGN SERVICES	661048.32
2013	ALL	ALL	PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING	14075082.89
2011	Dept of Defense	Norfolk	ALL	44537257.48
2013	ALL	Virginia Beach	TESTING LABORATORIES	481.55
2012	ALL	Virginia Beach	SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING	48000
2012	ALL	ALL	FACILITIES SUPPORT SERVICES	380723.20
2012	ALL	Virginia Beach	OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION	28309
2012	ALL	ALL	SHIP BUILDING AND REPAIRING	61166269.24
2014	ALL	Suffolk	MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS	91201.32
2012	ALL	Hampton	ALL	34310376.03
2014	ALL	ALL	WIRED TELECOMMUNICATIONS CARRIERS	6513117.28
2013	Dept of Homeland Security	ALL	ALL	25626445.97
2011	National Aeronautics and Space Administration	Newport News	ALL	2189414.21
2012	ALL	ALL	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	30325297.20
2014	ALL	ALL	ALL	2520908393.62
2011	ALL	ALL	ELECTRONIC COMPUTER MANUFACTURING	1105072.09
2014	Dept of Homeland Security	ALL	OTHER COMPUTER RELATED SERVICES	967443.34
2013	Dept of Defense	ALL	WIRED TELECOMMUNICATIONS CARRIERS	2490946.68
2012	Dept of Homeland Security	ALL	TESTING LABORATORIES	32
2012	ALL	Suffolk	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	1301509.28
2013	ALL	Portsmouth	RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING	15964502.25
2014	National Aeronautics and Space Administration	ALL	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	298750
2011	ALL	Chesapeake	ENGINEERING SERVICES	2047379.17
2013	ALL	Virginia Beach	SWITCHGEAR AND SWITCHBOARD APPARATUS MANUFACTURING	150005
2014	Dept of Defense	ALL	ALL OTHER SUPPORT SERVICES	1546200
2012	Dept of Defense	ALL	GENERAL LINE GROCERY MERCHANT WHOLESALERS	9623.88
2011	Dept of Defense	ALL	PUMP AND PUMPING EQUIPMENT MANUFACTURING	40460
2014	Dept of Defense	ALL	REMEDIATION SERVICES	1492738.54
2012	Dept of Defense	ALL	COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS	369798.66
2014	Dept of Defense	ALL	CUSTOM COMPUTER PROGRAMMING SERVICES	178231.09
2011	ALL	Hampton	COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS	60000
2011	ALL	Virginia Beach	ENVIRONMENTAL CONSULTING SERVICES	112375.36
2013	ALL	Virginia Beach	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES	398965
2013	ALL	Hampton	SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING	322871.85
2012	ALL	Portsmouth	SHIP BUILDING AND REPAIRING	3697425.31
2013	ALL	Portsmouth	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	124259
2012	ALL	ALL	COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS	369798.66
2011	Dept of Defense	Hampton	ALL	45083964.49
2013	ALL	ALL	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	3922591.25
2013	ALL	Gloucester	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	328780.8
2014	ALL	Norfolk	COMPUTER AND SOFTWARE STORES	338399
2014	ALL	Virginia Beach	ARCHITECTURAL SERVICES	182740
2014	ALL	Gloucester	TESTING LABORATORIES	-4184.8
2012	ALL	Chesapeake	REMEDIATION SERVICES	1525335.00
2012	National Aeronautics and Space Administration	Hampton	ALL	23643263.96
2013	National Aeronautics and Space Administration	ALL	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	2766529.13
2013	ALL	ALL	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	101714878.39
2012	Dept of Defense	ALL	OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING	33002.71
2012	Dept of Defense	ALL	OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING	44394.11
2014	Dept of Defense	ALL	OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION	468522.76
2013	ALL	Norfolk	ENVIRONMENTAL CONSULTING SERVICES	176554
2013	Dept of Defense	ALL	OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION	1729276.84
2013	ALL	ALL	RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING	22547079.58
2011	Dept of Defense	ALL	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	7248462.42
2011	ALL	ALL	SMALL ARMS MANUFACTURING	31547.67
2013	ALL	Newport News	INDUSTRIAL DESIGN SERVICES	48495
2014	ALL	Norfolk	PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES	1540700
2012	ALL	Virginia Beach	ALL	49220431.86
2011	ALL	Newport News	OTHER COMPUTER RELATED SERVICES	232908.76
2013	Dept of State	ALL	COMPUTER SYSTEMS DESIGN SERVICES	495528.75
2012	ALL	ALL	PUMP AND PUMPING EQUIPMENT MANUFACTURING	41090
2012	Dept of Defense	ALL	OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION	2213323.16
2013	ALL	York	PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING	442135
2012	ALL	Hampton	COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS	102000
2012	National Aeronautics and Space Administration	ALL	COMPUTER SYSTEMS DESIGN SERVICES	166299
2012	Dept of Homeland Security	ALL	COMPUTER SYSTEMS DESIGN SERVICES	54716
2013	Dept of State	Norfolk	ALL	495528.75
2012	ALL	Chesapeake	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	2332496
2012	Dept of Defense	ALL	RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES	270000
2014	ALL	Newport News	COMPUTER SYSTEMS DESIGN SERVICES	22584346.37
2012	Dept of Defense	ALL	COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS	102000
2013	Dept of Defense	ALL	ENGINEERING SERVICES	30818245.76
2014	ALL	ALL	OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING	423407
2011	ALL	ALL	SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING	104940.67
2014	Dept of Health and Human Services	ALL	COMPUTER SYSTEMS DESIGN SERVICES	464156
2014	ALL	Virginia Beach	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	1773932.8
2014	ALL	Virginia Beach	ALL	81132356.26
2011	Dept of Defense	ALL	RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY	200684
2011	ALL	Chesapeake	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	1007647
2013	ALL	Norfolk	FACILITIES SUPPORT SERVICES	4294877.85
2012	ALL	Chesapeake	COMPUTER SYSTEMS DESIGN SERVICES	398574
2013	ALL	ALL	OTHER MANAGEMENT CONSULTING SERVICES	159897.6
2013	Dept of Homeland Security	ALL	ENGINEERING SERVICES	543474.16
2014	Dept of Defense	ALL	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	794574.32
2011	ALL	Norfolk	COMPUTER SYSTEMS DESIGN SERVICES	558273.49
2013	ALL	Norfolk	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	36578319.48
2012	ALL	Norfolk	PUMP AND PUMPING EQUIPMENT MANUFACTURING	41090
