year	agency	locality	industry	funding
2011	Dept of Defense	ALL	ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS	79731.2
2012	ALL	Virginia Beach	OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING	129875.48
2011	ALL	Portsmouth	SHIP BUILDING AND REPAIRING	4209451.5
2014	ALL	ALL	ALL OTHER SUPPORT SERVICES	1546200
2012	ALL	Hampton	ENGINEERING SERVICES	6741122.17
2013	ALL	Chesapeake	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	2000000
2013	ALL	Newport News	SHIP BUILDING AND REPAIRING	57560451.00
2014	Dept of Health and Human Services	Virginia Beach	ALL	2127528.8
2013	Dept of Defense	ALL	COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS	86149
2012	Dept of Defense	York	ALL	2191562.43
2011	ALL	ALL	COMMUNICATION EQUIPMENT REPAIR AND MAINTENANCE	675877.07
2011	ALL	Portsmouth	ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS	79731.2
2012	ALL	ALL	OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES	782051.96
2013	ALL	Chesapeake	ELECTRONIC COMPUTER MANUFACTURING	153412.7
2013	ALL	ALL	ELECTRONIC COMPUTER MANUFACTURING	153412.7
2011	Dept of Defense	York	ALL	5439754.85
2012	ALL	Virginia Beach	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	25054105.90
2012	ALL	Newport News	TELEPHONE APPARATUS MANUFACTURING	15700
2013	ALL	York	SHIP BUILDING AND REPAIRING	435137
2012	ALL	ALL	ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING	38585.2
2011	ALL	York	OTHER COMPUTER RELATED SERVICES	1348489.35
2013	ALL	ALL	COMPUTER SYSTEMS DESIGN SERVICES	2581698.38
2013	ALL	York	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	18880461
2014	ALL	ALL	FACILITIES SUPPORT SERVICES	256189.67
2012	ALL	Portsmouth	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	1101291
2013	ALL	Virginia Beach	WIRED TELECOMMUNICATIONS CARRIERS	710659.5
2014	Dept of Defense	ALL	ELECTRONIC CONNECTOR MANUFACTURING	188999.91
2014	ALL	Virginia Beach	MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING	59666
2012	ALL	Norfolk	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	6993241.48
2012	Dept of Defense	ALL	SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING	86270.02
2014	Dept of Homeland Security	ALL	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	113120
2011	ALL	Newport News	COMMUNICATION EQUIPMENT REPAIR AND MAINTENANCE	675877.07
2012	ALL	ALL	MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS	1128636.61
2012	National Aeronautics and Space Administration	Newport News	ALL	664271.14
2011	ALL	ALL	SHIP BUILDING AND REPAIRING	27241951.42
2014	ALL	Norfolk	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	113750
2012	ALL	Hampton	SHIP BUILDING AND REPAIRING	770436.47
2012	ALL	Portsmouth	COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS	369798.66
2012	ALL	Newport News	COMPUTER FACILITIES MANAGEMENT SERVICES	904723
2012	ALL	Virginia Beach	MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS	763567.41
2011	ALL	Virginia Beach	ALL OTHER SUPPORT SERVICES	215037
2013	Dept of Commerce	Chesapeake	ALL	43365
2013	Dept of Defense	ALL	OTHER COMPUTER RELATED SERVICES	473034.36
2014	Dept of Defense	Chesapeake	ALL	246810325.76
2011	Dept of Defense	ALL	POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION	1192116
2012	Dept of Defense	ALL	SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING	48000
2014	ALL	York	ALL	6065251.84
2011	ALL	ALL	OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS	13000
2012	Dept of Defense	ALL	INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS	222835.40
2014	Dept of Veterans Affairs	Chesapeake	ALL	2273929.48
2014	Dept of Defense	ALL	PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING	8105749.96
2013	ALL	Norfolk	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	1645542.87
2011	Dept of Defense	ALL	SMALL ARMS MANUFACTURING	31547.67
2011	Dept of Defense	ALL	OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES	375579.15
2013	ALL	Hampton	ALL	27007624.87
2011	ALL	ALL	ENVIRONMENTAL CONSULTING SERVICES	112375.36
2013	Dept of Defense	ALL	SWITCHGEAR AND SWITCHBOARD APPARATUS MANUFACTURING	150005
2014	ALL	Hampton	SHIP BUILDING AND REPAIRING	1369526.06
2014	ALL	Norfolk	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	25362470.55
2014	Dept of Homeland Security	York	ALL	212454.33
2012	ALL	Gloucester	ALL	108813.88
2014	National Aeronautics and Space Administration	York	ALL	349255
2013	ALL	Chesapeake	OTHER ELECTRONIC COMPONENT MANUFACTURING	34860
2014	ALL	Norfolk	ALL	1146653327.78
2012	Dept of Health and Human Services	Virginia Beach	ALL	145000
2014	ALL	ALL	OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION	305542.5
2013	ALL	Newport News	ALL OTHER INFORMATION SERVICES	57726
2012	ALL	ALL	SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING	27122
2011	ALL	ALL	OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES	375579.15
2014	ALL	Virginia Beach	OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING	48454
2012	ALL	Newport News	ENGINEERING SERVICES	287676.19
2011	Dept of Defense	ALL	INDUSTRIAL BUILDING CONSTRUCTION	248608
2014	ALL	Virginia Beach	WIRED TELECOMMUNICATIONS CARRIERS	2709483
2014	Dept of Defense	ALL	OTHER COMPUTER RELATED SERVICES	6634992.24
2013	ALL	ALL	INDUSTRIAL DESIGN SERVICES	48495
2014	Dept of Health and Human Services	ALL	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	1663372.8
2012	ALL	ALL	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	203899103.07
2011	Environmental Protection Agency	ALL	ALL	558273.49
2011	ALL	Newport News	SHIP BUILDING AND REPAIRING	684439.53
2014	ALL	Norfolk	OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES	740007.76
2012	Dept of Defense	ALL	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	8061535.08
2013	ALL	Virginia Beach	MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING	857544.40
2014	ALL	ALL	COMPUTER AND SOFTWARE STORES	338399
2011	ALL	York	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	3455362.56
2012	ALL	Chesapeake	SHIP BUILDING AND REPAIRING	4117471.86
2014	ALL	ALL	ELECTRONIC CONNECTOR MANUFACTURING	188999.91
2013	ALL	Virginia Beach	SHIP BUILDING AND REPAIRING	3253792.24
2012	ALL	Chesapeake	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	1771.5
2013	ALL	Portsmouth	INDUSTRIAL BUILDING CONSTRUCTION	31845.72
2011	National Aeronautics and Space Administration	ALL	ALL	38492715.81
2011	ALL	ALL	ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS	79731.2
2012	National Aeronautics and Space Administration	ALL	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	23592376.42
2014	ALL	Newport News	OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING	374953
2013	Dept of Defense	ALL	PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING	14075082.89
2014	ALL	ALL	PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING	8105749.96
2011	Dept of Defense	Newport News	ALL	45119521.04
2012	Dept of Defense	ALL	INDUSTRIAL BUILDING CONSTRUCTION	1704574.91
2014	ALL	Chesapeake	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	403959
2011	ALL	Virginia Beach	COMPUTER SYSTEMS DESIGN SERVICES	551970.76
2011	ALL	Virginia Beach	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	1887760.02
2011	ALL	Virginia Beach	CHILD AND YOUTH SERVICES	357612
2013	ALL	ALL	WIRED TELECOMMUNICATIONS CARRIERS	2490946.68
2013	Dept of Health and Human Services	ALL	OTHER MANAGEMENT CONSULTING SERVICES	159897.6
2012	ALL	ALL	ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING	78311.68
2013	ALL	Norfolk	PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING	952800.87
2011	ALL	ALL	ALL OTHER MOTOR VEHICLE DEALERS	17980902
2014	ALL	Chesapeake	INDUSTRIAL BUILDING CONSTRUCTION	42400
2014	ALL	Virginia Beach	CUSTOM COMPUTER PROGRAMMING SERVICES	96400.65
2012	Dept of Commerce	ALL	TESTING LABORATORIES	92400
2011	ALL	Virginia Beach	SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING	104940.67
2012	ALL	Newport News	OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING	44394.11
2013	ALL	Virginia Beach	ARCHITECTURAL SERVICES	89389
2011	Dept of Defense	ALL	OTHER COMPUTER RELATED SERVICES	2121642.50
2013	Dept of Defense	Newport News	ALL	75202934.87
2011	ALL	ALL	ALL OTHER SPECIALTY TRADE CONTRACTORS	60508
2013	ALL	Hampton	ENGINEERING SERVICES	728983.7
2014	ALL	Virginia Beach	SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING	26219.34
2011	National Aeronautics and Space Administration	ALL	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	13848380.57
2012	ALL	Chesapeake	ELECTRONIC COMPUTER MANUFACTURING	97154.08
2014	ALL	Virginia Beach	ELECTRONIC COMPUTER MANUFACTURING	669230
2013	ALL	ALL	ELECTRONIC CONNECTOR MANUFACTURING	1675646.82
2013	ALL	ALL	SHIP BUILDING AND REPAIRING	204610960.65
2014	ALL	Hampton	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	2560
2014	Dept of Transportation	Chesapeake	ALL	203333
2013	Dept of Defense	ALL	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	39058716.22
2012	ALL	Norfolk	ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS	509568
2011	ALL	ALL	ALL OTHER SUPPORT SERVICES	215037
2013	ALL	Norfolk	COMPUTER SYSTEMS DESIGN SERVICES	495528.75
2011	ALL	Newport News	ALL	47308935.25
2012	ALL	Virginia Beach	ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING	78311.68
2013	ALL	Newport News	ELECTRONIC CONNECTOR MANUFACTURING	265709.42
2011	Dept of Defense	ALL	OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION	1235429.81
2014	ALL	Hampton	ENGINEERING SERVICES	184214.55
2011	ALL	Norfolk	WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION	1643671
2014	Dept of Defense	Suffolk	ALL	1778548.82
2014	ALL	ALL	RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING	601990.96
2012	Dept of Treasury	ALL	OTHER WAREHOUSING AND STORAGE	77680.7
2014	ALL	Virginia Beach	FACILITIES SUPPORT SERVICES	159309.95
2014	ALL	Virginia Beach	PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING	6737361.70
2013	ALL	Norfolk	COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS	86149
2012	ALL	Virginia Beach	COMPUTER SYSTEMS DESIGN SERVICES	198308.64
2014	ALL	ALL	ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING	1380360
2014	ALL	ALL	COMPUTER SYSTEMS DESIGN SERVICES	26087343.90
2014	ALL	ALL	MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS	857406.46
2014	ALL	Portsmouth	SHIP BUILDING AND REPAIRING	938197057.63
2011	Dept of Defense	ALL	COMPUTER SYSTEMS DESIGN SERVICES	705584.67
2014	ALL	Chesapeake	ARCHITECTURAL SERVICES	180542
2012	ALL	Chesapeake	ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES	826314
2013	ALL	Newport News	ENGINEERING SERVICES	481171.98
2014	Dept of Homeland Security	ALL	ALL	1293017.67
2012	ALL	ALL	OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION	2213323.16
2011	Dept of Veterans Affairs	ALL	ALL	199049.76
2011	ALL	Virginia Beach	SHIP BUILDING AND REPAIRING	643380.27
2013	ALL	Virginia Beach	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	1084155.45
2011	Dept of Veterans Affairs	Virginia Beach	ALL	199049.76
2013	Dept of Defense	Virginia Beach	ALL	78884530.14
2012	Dept of Defense	ALL	ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING	38585.2
2013	ALL	Gloucester	TESTING LABORATORIES	30
2013	Dept of Defense	ALL	SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING	3033165.32
2014	Dept of Health and Human Services	ALL	ALL	2127528.8
2011	Dept of Health and Human Services	ALL	CHILD AND YOUTH SERVICES	357612
2012	ALL	Virginia Beach	ENGINEERING SERVICES	11364677.80
2011	Dept of Defense	ALL	ALL	210026549.63
2013	Dept of Commerce	Gloucester	ALL	30
2011	Dept of Defense	Virginia Beach	ALL	57514332.67
2014	ALL	Norfolk	OTHER COMPUTER RELATED SERVICES	2187505.42
2012	ALL	ALL	INDUSTRIAL BUILDING CONSTRUCTION	1704574.91
2013	Dept of Homeland Security	ALL	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	7373246
2014	ALL	Newport News	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	829859.52
2012	ALL	ALL	OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING	44394.11
2013	Dept of Defense	ALL	OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING	994315.7
2012	ALL	Newport News	FOOD PRODUCT MACHINERY MANUFACTURING	18204.68
2013	ALL	Suffolk	INDUSTRIAL BUILDING CONSTRUCTION	31697
2014	ALL	Suffolk	ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING	1380360
2014	ALL	Chesapeake	ALL	249287588.24
2011	Dept of Defense	ALL	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	8199283.34
2011	ALL	ALL	OTHER COMPUTER RELATED SERVICES	26704077.74
2014	ALL	Newport News	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	359296.4
2013	ALL	Portsmouth	ENGINEERING SERVICES	720724.16
2011	ALL	Norfolk	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	4095266.12
2014	ALL	Virginia Beach	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	481582
2013	ALL	ALL	CUSTOM COMPUTER PROGRAMMING SERVICES	62196.66
2013	National Aeronautics and Space Administration	Suffolk	ALL	5375
2014	ALL	ALL	ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	3545578.21
2011	ALL	ALL	WIRED TELECOMMUNICATIONS CARRIERS	321292
2012	Dept of Defense	Gloucester	ALL	16413.88
2014	ALL	Suffolk	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	27774
2011	ALL	Virginia Beach	SMALL ARMS MANUFACTURING	31547.67
2013	Dept of Defense	ALL	SHIP BUILDING AND REPAIRING	204567595.65
2012	National Aeronautics and Space Administration	York	ALL	379461.41
2012	Dept of Defense	ALL	OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES	782051.96
2011	ALL	Suffolk	COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS	33002.71
2014	ALL	Hampton	COMPUTER SYSTEMS DESIGN SERVICES	2049980.96
2014	ALL	Williamsburg	ALL	8911792.99
2012	ALL	ALL	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	9176535.08
2013	ALL	Suffolk	ENGINEERING SERVICES	449872
2012	Dept of Defense	ALL	CUSTOM COMPUTER PROGRAMMING SERVICES	115535
2013	ALL	Virginia Beach	OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION	223928.84
2014	ALL	ALL	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	36809171.48
2012	Dept of Defense	ALL	SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING	27122
2013	ALL	ALL	OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES	3806782.38
2012	Dept of Commerce	ALL	ALL	92400
2014	Dept of Veterans Affairs	ALL	ALL	2437227.48
2013	ALL	Suffolk	COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION	98323
2013	ALL	Suffolk	ALL	896339.52
2013	ALL	Norfolk	OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION	1505348
2013	ALL	Virginia Beach	MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS	2945955.63
2011	National Aeronautics and Space Administration	ALL	OTHER COMPUTER RELATED SERVICES	24582435.24
2012	ALL	ALL	WIRED TELECOMMUNICATIONS CARRIERS	222536
2012	ALL	Newport News	ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES	125377.85
2011	Dept of Defense	ALL	HIGHWAY, STREET, AND BRIDGE CONSTRUCTION	1153065.33
2013	ALL	Williamsburg	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	646538.89
2014	ALL	ALL	OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION	468522.76
2011	ALL	Virginia Beach	ALL	58694348.43
2011	Dept of Defense	ALL	SHIP BUILDING AND REPAIRING	27241951.42
2013	ALL	ALL	MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS	3109441.15
2011	ALL	York	ALL	8895117.41
2012	Dept of Health and Human Services	ALL	ELECTRONIC COMPUTER MANUFACTURING	97154.08
2011	ALL	Chesapeake	SHIP BUILDING AND REPAIRING	309337
2014	ALL	Norfolk	PUMP AND PUMPING EQUIPMENT MANUFACTURING	33495
2012	Dept of Health and Human Services	ALL	ALL	242154.08
2014	National Aeronautics and Space Administration	ALL	RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)	3150823.48
